"sample_submitter_id","MUC1","MUC12","MUC12-AS1","MUC13","MUC15","MUC16","MUC17","MUC19","MUC2","MUC20","MUC20-OT1","MUC20P1","MUC21","MUC22","MUC3A","MUC4","MUC5AC","MUC5B","MUC5B-AS1","MUC6","MUC7","MUCL1","MUCL3"
"TCGA-AA-A01C-01A",49.0838,160.2653,3.5868,525.4364,0,0.1066,0.9538,0,48.4495,29.5082,2.3558,38.9286,0,0,64.9722,7.6529,2.2088,30.063,0,0.3806,0,0,0.0514
"TCGA-AU-6004-01A",459.2045,2.1117,3.5878,808.8629,0,0.0182,194.7102,0.009,248.4369,19.5231,5.7138,28.0116,0.035,0,82.7644,130.081,0.0456,27.8839,0,0.645,0,0.0334,0.0818
"TCGA-AA-3947-01A",12.6991,0.2914,0,447.6058,0,0,0.5308,0,34.802,2.9205,2.73,1.6714,0,0,19.8208,0.2671,0.0358,1.493,0,0.5546,1.115,0,0
"TCGA-AZ-4313-01A",141.2996,9.264,54.4933,426.4349,0,0.0044,0.1952,0,1083.6619,10.0394,0.9452,3.528,0,0,75.4652,40.5113,93.8996,181.2653,0,6.0499,0,0,0.0673
"TCGA-A6-2681-01A",249.2017,50.3367,3.6886,472.5826,0.038,0.0125,24.5127,0.0046,256.0187,29.9625,1.2951,22.5026,0.1079,0,66.2031,8.1935,0.1955,55.9253,0,0.275,0,0,0.0721
"TCGA-G4-6323-01A",122.4313,19.539,2.0342,644.0653,0.021,0.0223,32.3896,0.0051,147.2501,38.882,2.8055,29.0308,0,0,25.6123,32.5214,0.0518,4.2412,0,0.6155,0.1076,0.5686,0.053
"TCGA-A6-3808-01A",51.3111,5.8598,4.4679,329.9592,0.2028,0.0332,0.7673,0,317.161,11.5697,0.9299,17.102,0,0,21.5577,6.5139,2.0948,52.8871,0,10.9262,0,2.9308,0.16
"TCGA-CK-6747-01A",336.906,1.5863,0.7289,594.68,0,0,3.3474,0.002,349.5289,70.0979,2.434,26.6274,0.0626,0,18.3672,9.9658,2.0402,88.8595,0,1.0336,0.2757,0,0
"TCGA-CM-6676-01A",18.0559,35.57,1.6876,456.2213,0.0213,0.0035,0.3688,0,5.8682,31.5112,2.3677,20.5783,0.1006,0,38.2722,0.4611,0.1137,4.8873,0,0.0995,0,0.2114,0.0269
"TCGA-F4-6703-01A",111.4274,0.2058,0.2665,140.1089,0.3175,0.6039,5.4631,0.0074,4.8811,6.5366,1.9292,9.5236,1.2869,0.5587,3.8693,3.705,0.3823,9.4253,0,0.4114,0.0194,0.2322,0.1432
"TCGA-DM-A0XF-01A",72.0683,31.9488,1.6507,598.7945,0,0.0743,0.1688,0.007,0.2162,12.9028,1.9909,19.4105,0.0136,0,31.1953,0.6244,0.003,0.1473,0,0.0184,0,0.026,0.1001
"TCGA-CM-6171-01A",29.6892,1.1345,2.0842,950.1074,0,0.0018,7.4372,0.0105,255.1361,6.8691,3.9218,4.4067,0,0,59.0556,0.2164,67.9854,7.4388,0,313.5484,0.0551,0.1165,0.733
"TCGA-AD-6963-01A",53.7684,97.8271,3.2094,370.6231,0,0.1291,1.0927,0,21.6338,19.1928,3.5967,43.6705,0.1435,0.009,27.2178,5.8696,0.5147,3.2659,0,0.129,0,0.1645,0.0192
"TCGA-CM-6166-01A",6.4455,4.407,1.2704,357.6757,0,0,0.0422,0,2.041,27.4528,2.2623,7.2636,0,0,26.0348,0.2706,0.1363,2.1686,0,0.0245,0.0739,0.1042,0.0182
"TCGA-A6-5657-01A",19.1539,2.3117,4.3183,342.6154,0.0153,0.0514,18.1333,0,8.4507,10.9573,1.0486,3.4981,0,0,20.2131,1.5938,0.0913,0.065,0,0.0846,0.0196,0.166,0.2224
"TCGA-A6-4105-01A",23.7779,6.4642,3.7157,393.7608,0,0,0.2802,0,78.716,10.1625,2.1291,4.3508,0,0,36.2646,4.2965,0.4478,5.8185,0,0.0199,0.2702,0.0635,0
"TCGA-AA-3968-01A",33.3694,20.6683,2.8568,460.7353,0,0.0133,0.8309,0,125.7886,19.0896,3.8402,18.1675,0.0383,0,52.073,7.6884,3.1904,32.6894,0,0.1206,0,0,0
"TCGA-DC-6683-01A",1.8208,67.0351,1.5228,1000.6426,0.0494,0.0061,1.2052,0,2.4116,59.5984,2.742,23.1371,0,0,73.0268,0.8045,0,0.6903,0,0.0315,0,0.0223,0
"TCGA-AH-6547-01A",192.9804,323.6242,12.5659,1660.9867,0.0168,0.0343,12.8666,0,1651.2912,37.5514,2.5881,4.047,0,0,57.3913,71.32,86.4973,90.7833,0,0.0214,0,0.0303,0
"TCGA-F5-6861-01A",72.1764,18.3515,1.7976,524.9964,0.017,0.0543,1.2656,0,125.5642,24.6751,4.812,31.4648,0.0161,0.0203,10.101,2.2333,1.7961,79.9546,0,0.3468,0,0.0614,0.0215
"TCGA-AG-3605-01A",43.302,43.1752,1.2876,371.3707,0,0,0.2764,0,92.2197,14.4872,1.4219,6.3169,0,0,36.985,6.027,0.6908,11.8773,0,0.0311,0,0,0
"TCGA-EI-6506-01A",130.2912,117.8466,4.6224,869.1816,0,0.0177,4.5191,0,838.9802,33.2305,2.946,10.9678,0.0438,0,30.3564,38.1653,4.5984,99.6696,0,0.1639,0.0198,0.0836,0.0097
"TCGA-AG-4015-01A",52.8527,98.6167,0.6441,586.4881,0,0,1.5255,0,142.5618,36.3492,1.7949,10.923,0,0,63.8701,8.7795,4.6126,38.9393,0,0.0932,0,0.033,0.0692
"TCGA-AG-3609-01A",13.3618,18.8527,4.4539,489.6205,0,0.0382,0.8446,0,13.1109,10.2792,0.8874,1.328,0,0,28.8403,1.2537,0.6393,4.0937,0,0.0331,0,0.2107,0
"TCGA-AG-3878-01A",224.896,200.4613,4.5441,296.9099,0.0344,0.0113,1.8042,0,1092.5768,21.4058,1.4432,17.5402,0,0,59.4623,30.9045,2.9114,62.3239,0,0.3361,0,0.031,0
"TCGA-AG-3582-01A",87.1513,32.6123,2.8736,627.9428,0.2717,0.0178,0.199,0,62.6148,30.7338,2.9794,23.0891,0.0514,0,37.7839,7.752,1.1619,19.8612,0,0.231,0,0.0982,0.0343
"TCGA-AG-3894-01A",14.7379,1.8388,4.2995,280.4274,2.3505,0.029,6.2364,0.0054,40.5648,56.5174,1.8169,22.7259,0.1258,0.0264,5.4861,0.2043,2.4891,42.6487,0,0.3205,0,4.2064,0
"TCGA-AG-3881-01A",347.9349,5.8791,11.6302,247.9369,0,0.0074,5.3767,0,2559.6803,11.1728,1.0109,7.5782,0,0,36.867,5.676,42.7984,133.1992,0,0.3095,0,0.0822,0
"TCGA-AG-A02G-01A",30.3237,34.9687,1.8439,445.0826,0,0,35.2831,0.0254,16.9559,54.9038,2.0895,74.4201,0,0,63.0208,5.0195,1.9957,8.5706,0,0.1957,0,0,0.1057
"TCGA-EF-5830-01A",71.8425,1.0832,0.1974,891.7438,0.2463,0.0275,25.3929,0,3.5637,19.4551,2.3459,10.375,0.0212,0,19.3053,0.1337,0.1565,5.6707,0,0.7235,0,32.5053,0.0424
"TCGA-EI-6885-01A",34.4398,1.6202,1.9105,850.1525,0.1167,0.0096,0.0448,0.002,0.5147,17.6106,1.4784,3.8095,0.9619,0.0497,14.5334,0.737,0.1988,4.3031,0,0.0213,0,0.5874,0.0105
"TCGA-DC-6681-01A",60.0606,12.2375,1.1406,457.2436,0,0.0015,9.0992,0.0045,309.3916,44.6866,1.7108,9.7107,0,0,21.5955,15.5878,0.859,397.2596,0,0.165,0.3792,0.0334,0.0117
"TCGA-AG-3593-01A",97.9051,21.3701,3.6294,465.27,0,0,1.2064,0,22.4327,21.6645,3.716,28.936,0,0,17.8525,15.3511,0.1616,8.5203,0,0.5411,0,1.6909,0.0236
"TCGA-AG-3726-01A",30.5326,107.533,3.018,389.0104,0.2568,0,0.6583,0,36.8612,28.4536,1.2301,11.5156,0.0405,0,130.4889,7.1508,1.0824,128.3863,0,1.3101,0,0.0387,0
"TCGA-F5-6571-01A",5.8155,16.8271,1.1941,920.7804,0.0151,0.0037,110.3359,0.0018,3.939,25.2502,4.6822,10.5106,0.0285,0,26.7722,4.5905,0.065,10.9346,0,0.1024,0.0193,0.0136,0.0951
"TCGA-AG-A020-01A",434.5446,313.7437,19.6484,1098.7008,0,0.0058,11.421,0.0043,3281.9523,11.9007,3.0005,2.7956,0,0.0422,80.0194,38.8879,5.58,208.3255,0,0.2858,0,0,0.0223
